rr,sl_buffer_atr,swing_lookback,use_body_filter,use_breakeven,use_trend_filter,n,wr,pf,sharpe,total_ret,max_dd,avg_win,avg_loss,avg_pnl,expectancy
0.5,0.3,15,False,True,False,526,0.5665399239543726,0.8602784935035666,-0.8548646995605514,-0.14436972653770974,-0.17379584722164024,0.0030825418763527662,-0.004683293076021089,-0.0002836375326609968,-0.00028363753266099647
0.5,0.3,15,False,False,True,485,0.5711340206185567,0.8791147852729414,-0.7005896337115328,-0.11807274067463114,-0.16002178161543493,0.003130689017264413,-0.0047425375650910285,-0.0002458700118694667,-0.00024587001186946746
0.5,0.3,15,False,False,False,526,0.5665399239543726,0.8602784935035666,-0.8548646995605514,-0.14436972653770974,-0.17379584722164024,0.0030825418763527662,-0.004683293076021089,-0.0002836375326609968,-0.00028363753266099647
0.5,0.3,20,True,True,True,325,0.556923076923077,0.7181605531809384,-1.4794352135798579,-0.1711946738800918,-0.20279240251137498,0.0025937246377233207,-0.00453960853094032,-0.0005668906739307234,-0.0005668906739307229
0.5,0.3,20,True,True,False,329,0.5501519756838906,0.708190906993606,-1.5545215348402017,-0.18070003322168837,-0.21823973722162746,0.0026241167177210637,-0.0045315801036236465,-0.0005948593599659183,-0.0005948593599659181
0.5,0.3,20,True,False,True,325,0.556923076923077,0.7181605531809384,-1.4794352135798579,-0.1711946738800918,-0.20279240251137498,0.0025937246377233207,-0.00453960853094032,-0.0005668906739307234,-0.0005668906739307229
0.5,0.3,20,True,False,False,329,0.5501519756838906,0.708190906993606,-1.5545215348402017,-0.18070003322168837,-0.21823973722162746,0.0026241167177210637,-0.0045315801036236465,-0.0005948593599659183,-0.0005948593599659181
0.5,0.3,20,False,True,True,433,0.5773672055427251,0.9306534179292422,-0.36966288047558793,-0.06576322226725462,-0.12244021422610868,0.0033234463301016425,-0.004878537100327941,-0.0001429808471930774,-0.00014298084719307786
0.5,0.3,20,False,True,False,443,0.5711060948081265,0.9144942551102825,-0.46775708155233153,-0.08147526624865187,-0.12880822575504902,0.0033299732049350108,-0.004848715221789645,-0.00017781641375050716,-0.00017781641375050707
0.5,0.3,20,False,False,True,433,0.5773672055427251,0.9306534179292422,-0.36966288047558793,-0.06576322226725462,-0.12244021422610868,0.0033234463301016425,-0.004878537100327941,-0.0001429808471930774,-0.00014298084719307786
0.5,0.3,20,False,False,False,443,0.5711060948081265,0.9144942551102825,-0.46775708155233153,-0.08147526624865187,-0.12880822575504902,0.0033299732049350108,-0.004848715221789645,-0.00017781641375050716,-0.00017781641375050707
0.5,0.3,30,True,True,True,272,0.5661764705882353,0.7474120696142132,-1.1518664471611582,-0.13000308764650148,-0.1648519267876887,0.0026162363646553303,-0.004568310186084842,-0.0005005889772098916,-0.0005005889772098917
0.5,0.3,30,True,True,False,273,0.5641025641025641,0.7406075854066361,-1.1925954491544204,-0.13431194739135122,-0.16898818964397685,0.0026162363646553303,-0.0045715406040818946,-0.0005168971858198706,-0.0005168971858198702
0.5,0.3,30,True,False,True,272,0.5661764705882353,0.7474120696142132,-1.1518664471611582,-0.13000308764650148,-0.1648519267876887,0.0026162363646553303,-0.004568310186084842,-0.0005005889772098916,-0.0005005889772098917
0.5,0.3,30,True,False,False,273,0.5641025641025641,0.7406075854066361,-1.1925954491544204,-0.13431194739135122,-0.16898818964397685,0.0026162363646553303,-0.0045715406040818946,-0.0005168971858198706,-0.0005168971858198702
0.5,0.3,30,False,True,True,359,0.5905292479108635,0.9766217392253572,-0.08913487035152551,-0.02227725276639214,-0.10114805534604714,0.003379826713166144,-0.004990988544583999,-4.7777306024026005e-05,-4.777730602402615e-05
0.5,0.3,30,False,True,False,360,0.5888888888888889,0.9700731878370746,-0.12043433730514393,-0.027119649477642227,-0.10559982627293657,0.003379826713166144,-0.004990730040416095,-6.14021744176653e-05,-6.140217441766467e-05
0.5,0.3,30,False,False,True,359,0.5905292479108635,0.9766217392253572,-0.08913487035152551,-0.02227725276639214,-0.10114805534604714,0.003379826713166144,-0.004990988544583999,-4.7777306024026005e-05,-4.777730602402615e-05
0.5,0.3,30,False,False,False,360,0.5888888888888889,0.9700731878370746,-0.12043433730514393,-0.027119649477642227,-0.10559982627293657,0.003379826713166144,-0.004990730040416095,-6.14021744176653e-05,-6.140217441766467e-05
0.5,0.5,5,True,True,True,527,0.573055028462998,0.684612080282642,-2.201678942096179,-0.2845461261024197,-0.32477484409248814,0.002367832468187308,-0.004642274725839188,-0.0006250975482376667,-0.0006250975482376669
0.5,0.5,5,True,True,False,638,0.5736677115987461,0.6752523235075593,-2.5716890372833627,-0.3387509401725811,-0.3833715518423722,0.0023145938614414826,-0.004612335509282813,-0.0006385797887732645,-0.0006385797887732644
